,Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Developer,Rating
11246,Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,90000,74,Nixxes Software,T
11302,BlazBlue Central Fiction,PS4,2016,Fighting,PQube,80000,85,Arc System Works,T
11335,How to Train Your Dragon 2,WiiU,2014,Adventure,Little Orbit,80000,47,Torus Games,E10+
11363,The Golf Club,PS4,2014,Sports,Unknown,80000,66,HB Studios Multimedia,E
11370,God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,80000,70,"Shift, Bandai Namco Games",T
11380,Shovel Knight,PS4,2015,Platform,Yacht Club Games,80000,90,Yacht Club Games,E
11385,Invizimals: The Alliance,PSV,2013,Action,Sony Computer Entertainment,80000,69,Novarama,E10+
11391,Pro Evolution Soccer 2013,PC,2012,Sports,Konami Digital Entertainment,80000,80,Konami,E
11398,Battleborn,PC,2016,Shooter,Take-Two Interactive,80000,69,Gearbox Software,T
11420,Mega Man Legacy Collection,PS4,2016,Platform,Capcom,80000,77,Digital Eclipse,E
11437,Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,80000,65,WayForward,E10+
11451,Titanfall 2,PC,2016,Shooter,Electronic Arts,80000,85,Respawn Entertainment,M
11472,Warriors Orochi 3 Hyper,WiiU,2012,Action,Tecmo Koei,80000,64,Omega Force,T
11496,Sniper: Ghost Warrior 2,PC,2013,Shooter,City Interactive,80000,52,City Interactive,M
11577,Game of Thrones,PC,2012,Role-Playing,Focus Home Interactive,80000,58,"Cyanide, Cyanide Studios",M
11582,Lost Dimension,PSV,2014,Role-Playing,Nippon Ichi Software,80000,72,FuRyu,T
11584,Resident Evil 6,PS4,2016,Shooter,Capcom,80000,60,Capcom,M
11586,Assassin's Creed: Rogue,PC,2015,Action,Ubisoft,80000,74,Ubisoft,M
11605,X Rebirth,PC,2013,Simulation,Koch Media,80000,33,Egosoft,T
11610,Song of the Deep,PS4,2016,Action,Insomniac Games,80000,69,Insomniac Games,E
11630,Assassin's Creed The Ezio Collection,XOne,2016,Action,Ubisoft,80000,74,Ubisoft Montreal,M
11659,Metal Gear Solid V: The Phantom Pain,PC,2015,Action,Konami Digital Entertainment,80000,91,Kojima Productions,M
11678,Valentino Rossi: The Game,PS4,2016,Racing,Namco Bandai Games,80000,75,"Milestone, Milestone S.r.l",E
11682,Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,80000,63,Omega Force,T
11716,Need for Speed: Most Wanted,PC,2012,Racing,Electronic Arts,80000,82,Black Box,T
11726,Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,80000,81,"Spike Chunsoft, Chime",M
11746,Rayman Origins,PC,2012,Platform,Ubisoft,80000,86,UBlart Montpellier,E10+
11762,Grand Ages: Medieval,PS4,2015,Strategy,Kalypso Media,70000,64,Gaming Minds Studios,T
11873,Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,70000,71,Compile Heart,T
11892,Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,70000,89,From Software,M
11964,Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,70000,78,Spike Chunsoft,T
11997,Child of Light,PSV,2014,Role-Playing,Ubisoft,70000,83,Ubisoft Montreal,E10+
12052,Tokyo Twilight Ghost Hunters,PSV,2014,Role-Playing,Aksys Games,70000,63,TOYBOX,T
12057,Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Action,Xseed Games,70000,72,Sandlot,T
12062,Dynasty Warriors 8: Empires,XOne,2014,Action,Tecmo Koei,70000,58,Koei Tecmo Games,T
12108,The Testament of Sherlock Holmes,PC,2012,Adventure,Focus Home Interactive,70000,73,Frogwares,M
12118,Eagle Flight,PS4,2016,Adventure,Ubisoft,70000,72,"Ubisoft, FunHouse",E10+
12157,Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,70000,70,Climax Studios,T
12229,Terraria,PS4,2014,Action,505 Games,70000,83,Engine Software,T
12267,Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,70000,60,Kadokawa,M
12275,Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,70000,72,Revolution Software,T
12276,Alan Wake,PC,2012,Action,Nordic Games,60000,83,Remedy Entertainment,T
12307,GRID 2,PC,2013,Racing,Codemasters,60000,80,Codemasters,E
12312,Criminal Girls: Invite Only,PSV,2013,Role-Playing,Nippon Ichi Software,60000,55,"Image Epoch, Imageepoch",M
12314,Samurai Warriors Chronicles 3,PSV,2014,Action,Tecmo Koei,60000,70,Omega Force,T
12318,One Piece: Unlimited World Red,WiiU,2014,Action,Namco Bandai Games,60000,66,Ganbarion,T
12334,Mario vs. Donkey Kong: Tipping Stars,3DS,2015,Puzzle,Nintendo,60000,70,"Nintendo, Nintendo Software Technology",E
12369,Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,60000,74,EA DICE,T
12392,Assetto Corsa,PS4,2016,Racing,505 Games,60000,73,Kunos Simulazioni,E
12400,One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,60000,60,Spike Chunsoft,T
12401,TrackMania Turbo,XOne,2016,Action,Ubisoft,60000,76,Nadeo,E
12406,Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games,60000,83,"Spike Chunsoft, Chime",M
12431,Nights of Azure,PS4,2015,Action,Tecmo Koei,60000,67,Gust,T
12434,Earth Defense Force 2017 Portable,PSV,2012,Action,D3Publisher,60000,68,Sandlot,T
12456,The LEGO Movie Videogame,PC,2014,Action,Warner Bros. Interactive Entertainment,60000,68,TT Games,E10+
12457,DuckTales: Remastered,WiiU,2013,Action,Capcom,60000,76,WayForward,E
12463,Grand Kingdom,PSV,2015,Role-Playing,Nippon Ichi Software,60000,76,Spike Chunsoft,T
12477,Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,60000,64,Sandlot,M
12492,The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,60000,60,Spiders,M
12538,Song of the Deep,XOne,2016,Action,Insomniac Games,60000,66,Insomniac Games,E
12605,Devil's Third,WiiU,2015,Action,Nintendo,60000,43,Valhalla Game Studios,M
12630,Lord of Magna: Maiden Heaven,3DS,2014,Role-Playing,Marvelous Entertainment,60000,68,Marvelous Inc.,T
12684,Exist Archive: The Other Side of the Sky,PSV,2015,Role-Playing,Aksys Games,60000,71,Tri-Ace,T
12720,Street Fighter V,PC,2016,Fighting,Capcom,60000,74,Capcom,T
12729,MX vs. ATV Supercross Encore,PS4,2015,Sports,Nordic Games,60000,42,Rainbow Studios,E
12757,Rugby World Cup 2015,PS4,2015,Sports,Ubisoft,60000,25,HB Studios Multimedia,E
12779,MotorStorm RC,PSV,2012,Racing,Sony Computer Entertainment,60000,78,Evolution Studios,E
12789,Remember Me,PC,2013,Action,Capcom,60000,65,DONTNOD Entertainment,M
12835,Rocket League,PC,2016,Sports,505 Games,60000,86,Psyonix,E
12864,7 Days to Die,XOne,2016,Action,Telltale Games,50000,35,The Fun Pimps Entertainment LLC,M
12928,Murdered: Soul Suspect,PC,2014,Action,Square Enix,50000,59,Airtight Games,M
12966,Mighty No. 9,PS4,2016,Platform,Deep Silver,50000,52,Inti Creates,E10+
13001,Dead Island Definitive Collection,XOne,2016,Action,Deep Silver,50000,67,Techland,M
13002,PAC-MAN and the Ghostly Adventures,WiiU,2013,Platform,Namco Bandai Games,50000,58,"Namco Bandai Games, Monkey Bar Games",E10+
13010,F1 2015,PC,2015,Racing,Codemasters,50000,61,Codemasters,E
13041,Killing Floor 2 ,PS4,2016,Shooter,Tripwire Interactive,50000,76,Tripwire Interactive,M
13048,Mortal Kombat X,PC,2015,Fighting,Warner Bros. Interactive Entertainment,50000,76,High Voltage Software,M
13055,Bladestorm: Nightmare,XOne,2015,Action,Tecmo Koei,50000,48,Omega Force,T
13068,Wasteland 2,XOne,2015,Role-Playing,Deep Silver,50000,77,InXile Entertainment,M
13093,The Bureau: XCOM Declassified,PC,2013,Shooter,Take-Two Interactive,50000,66,2K Marin,M
13144,Steins;Gate 0,PS4,2015,Adventure,PQube,50000,81,5pb,M
13215,Metroid Prime: Federation Force,3DS,2016,Action,Nintendo,50000,64,"Next Level Games, Nintendo",T
13222,Payday 2,PC,2013,Shooter,505 Games,50000,79,Overkill Software,M
13228,Hatsune Miku: Project Diva X,PS4,2016,Misc,Sega,50000,78,Sega,T
13241,Grand Ages: Medieval,PC,2015,Strategy,Kalypso Media,50000,63,Gaming Minds Studios,T
13251,Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,50000,64,Volition Inc.,M
13260,Plants vs. Zombies: Garden Warfare 2,PC,2016,Shooter,Electronic Arts,50000,82,PopCap,E10+
13267,NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,50000,66,Dusenberry Martin Racing,E
13271,Child of Light,PS4,2014,Role-Playing,Ubisoft,50000,82,Ubisoft Montreal,E10+
13385,Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment,50000,87,Konami,E
13414,XCOM 2,XOne,2016,Strategy,Take-Two Interactive,50000,87,Firaxis Games,T
13438,Ride 2,PS4,2016,Racing,Milestone S.r.l,50000,71,Milestone S.r.l,E
13465,Root Letter,PSV,2016,Adventure,PQube,50000,78,Kadokawa,M
13478,Resident Evil 6,XOne,2016,Shooter,Capcom,50000,63,Capcom,M
13502,Sbastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,40000,71,Milestone S.r.l,E
13536,Life is Strange,PC,2016,Adventure,Square Enix,40000,83,DONTNOD Entertainment,M
13550,Battlezone,PS4,2016,Action,Rebellion Developments,40000,66,Rebellion,T
13560,Pro Evolution Soccer 2016,PC,2015,Sports,Konami Digital Entertainment,40000,76,Konami,E
13562,Teenage Mutant Ninja Turtles: Mutants in Manhattan,XOne,2016,Action,Activision,40000,55,PlatinumGames,T
13589,Shantae and the Pirate's Curse,3DS,2015,Platform,Rising Star Games,40000,82,WayForward,E10+
13598,Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,Tecmo Koei,40000,80,Koei Tecmo Games,T
13632,LEGO Friends,3DS,2013,Action,Warner Bros. Interactive Entertainment,40000,43,Hellbent Games,E
13644,Brothers: A Tale of Two Sons,XOne,2015,Adventure,505 Games,40000,81,Starbreeze,T
13668,Nitroplus Blasterz: Heroines Infinite Duel,PS4,2015,Fighting,Marvelous Interactive,40000,70,"Examu, Marvelous Inc.",T
13676,Resident Evil 6,PC,2012,Shooter,Capcom,40000,69,"Capcom, QLOC",M
13695,Gravity Falls: Legend of the Gnome Gemulets,3DS,2015,Action,Ubisoft,40000,46,Ubisoft Osaka,E
13696,Rodea the Sky Soldier,3DS,2015,Action,Nippon Ichi Software,40000,45,"Prope, Kadokawa",E10+
13730,Rugby Challenge 3,PS4,2016,Sports,Alternative Software,40000,64,Wicked Witch Software,E
13777,Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software,40000,72,5pb,T
13788,Terraria,XOne,2014,Action,505 Games,40000,84,Engine Software,T
13842,Resident Evil: Revelations,PC,2013,Action,Capcom,40000,77,Capcom,M
13874,Dead Rising,PS4,2016,Action,Capcom,40000,78,Capcom,M
13895,Resident Evil: Operation Raccoon City,PC,2012,Action,Capcom,40000,48,Slant Six,M
13942,LEGO Jurassic World,PC,2015,Action,Warner Bros. Interactive Entertainment,40000,72,TT Games,E10+
13974,Lost Planet 3,PC,2013,Shooter,Capcom,40000,61,Spark Unlimited,T
13985,Beyblade Evolution,3DS,2013,Action,Rising Star Games,40000,49,Rising Star Games,E
13988,Castlevania: Lords of Shadow 2,PC,2014,Action,Konami Digital Entertainment,40000,58,Mercury Steam,M
13994,Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,40000,69,Tri-Ace,T
14002,Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,40000,69,"Climax Group, Climax Studios",T
14012,Ray Gigant,PSV,2015,Role-Playing,Namco Bandai Games,40000,72,Bandai Namco Games,T
14082,Homefront: The Revolution,PC,2016,Shooter,Deep Silver,40000,54,Deep Silver Dambuster Studios,M
14091,Just Dance 2017,XOne,2016,Misc,Ubisoft,40000,75,Ubisoft Paris,E10+
14093,Stranger of Sword City,PSV,2015,Role-Playing,Nippon Ichi Software,40000,71,Experience Inc.,T
14161,Infamous: First Light,PS4,2014,Action,Sony Computer Entertainment,30000,73,Sucker Punch,T
14164,Tour de France 2014,PS4,2014,Sports,Focus Home Interactive,30000,53,Cyanide,E
14209,Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016,Shooter,Gearbox Software,30000,77,Gearbox Software,M
14259,JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015,Fighting,Namco Bandai Games,30000,61,CyberConnect2,T
14276,Yumi's Odd Odyssey,3DS,2013,Platform,Agatsuma Entertainment,30000,74,Studio Saizensen,E
14341,Deus Ex: Mankind Divided,PC,2016,Role-Playing,Square Enix,30000,83,"Eidos Montreal, Nixxes Software",M
14377,Song of the Deep,PC,2016,Action,Insomniac Games,30000,73,Insomniac Games,E
14402,DiRT Rally,PC,2016,Racing,Codemasters,30000,86,Codemasters,E
14403,Trials Fusion,PC,2014,Racing,Ubisoft,30000,80,RedLynx,E10+
14406,Prison Architect,PS4,2016,Action,Introversion Software,30000,80,"Introversion, Double Eleven",M
14423,Sorcery Saga: The Curse of the Great Curry God,PSV,2013,Role-Playing,Rising Star Games,30000,65,Zerodiv,T
14474,Zero Escape: Virtue's Last Reward,3DS,2012,Adventure,Rising Star Games,30000,88,ChunSoft,M
14476,Transformers: Devastation,PC,2015,Action,Activision,30000,74,PlatinumGames,T
14480,The Golf Club,XOne,2014,Sports,Unknown,30000,64,HB Studios Multimedia,E
14511,Worms: WMD,PS4,2016,Action,Sold Out,30000,78,Team 17,E10+
14518,Rabbids Land,WiiU,2012,Misc,Ubisoft,30000,52,Ubisoft Paris,E10+
14596,Valentino Rossi: The Game,XOne,2016,Racing,Namco Bandai Games,30000,74,Milestone S.r.l,E
14631,Doom 3 BFG Edition,PC,2012,Shooter,Bethesda Softworks,30000,59,id Software,M
14650,Lords of the Fallen,PC,2014,Role-Playing,Square Enix,30000,73,"City Interactive, Deck 13",M
14657,NBA 2K13,PC,2012,Sports,Take-Two Interactive,30000,90,Visual Concepts,E
14697,Mighty No. 9,WiiU,2016,Platform,Deep Silver,30000,48,Inti Creates,E10+
14709,Superdimension Neptune vs Sega Hard Girls,PSV,2016,Role-Playing,Idea Factory International,30000,73,Compile Heart,T
14710,The Talos Principle,PS4,2015,Puzzle,Devolver Digital,30000,88,Croteam,E10+
14739,Ride,PC,2015,Racing,Milestone S.r.l.,30000,68,Milestone S.r.l,E
14813,XBLAZE Code: Embryo,PSV,2013,Adventure,Arc System Works,30000,43,Arc System Works,M
14838,Dead Rising 2,PS4,2016,Action,Capcom,30000,82,Blue Castle Games,M
14872,The Technomancer,XOne,2016,Role-Playing,Focus Home Interactive,30000,68,Spiders,M
14901,The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015,Action,Activision,30000,59,"Activision, Behaviour Interactive",E
14904,Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,30000,57,Acquire,T
14942,Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,30000,67,Microids,T
14982,Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,30000,62,"Neon Studios, Kaiko",E10+
15001,GRID Autosport,PC,2014,Racing,Codemasters,20000,78,Codemasters,E
15048,Final Fantasy XIV: Heavensward,PC,2015,Action,Square Enix,20000,86,Square Enix,T
15049,Omega Quintet,PS4,2014,Role-Playing,Compile Heart,20000,58,Compile Heart,T
15117,Here They Lie,PS4,2016,Adventure,Sony Computer Entertainment,20000,62,The Tangentlemen,M
15177,Anima - Gate of Memories,PS4,2016,Action,Avanquest,20000,52,"Edge Entertainment, Anima Project",T
15182,Tropico 4: Modern Times,PC,2012,Strategy,Kalypso Media,20000,78,Haemimont,T
15200,Psycho-Pass: Mandatory Happiness,PSV,2016,Adventure,Nippon Ichi Software,20000,64,5pb,T
15213,Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,20000,81,NATSUME ATARI Inc.,T
15237,Street Fighter X Tekken,PC,2012,Fighting,Capcom,20000,79,"Capcom, QLOC",T
15258,Plants vs. Zombies: Garden Warfare,PC,2014,Shooter,Electronic Arts,20000,78,PopCap,E10+
15273,F1 Race Stars,PC,2012,Racing,Codemasters,20000,62,Codemasters,E
15361,Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software,20000,55,"Mediascape, CUBETYPE",E10+
15379,Sniper Elite V2,WiiU,2013,Shooter,505 Games,20000,58,Rebellion,M
15408,Sacred 3,PC,2014,Role-Playing,Deep Silver,20000,57,Deep Silver,M
15409,Pro Evolution Soccer 2017,PC,2016,Sports,Konami Digital Entertainment,20000,69,Konami,E
15458,Carmageddon: Max Damage,XOne,2016,Action,Stainless Games,20000,52,Stainless Games,M
15485,RollerCoaster Tycoon World,PC,2016,Simulation,Atari,20000,43,Nvizzio Creations,E
15489,Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,20000,79,Nordic Games Publishing,M
15498,Lara Croft and the Temple of Osiris,PC,2014,Action,Square Enix,20000,73,Nixxes Software,T
15507,Fist of the North Star: Ken's Rage 2,WiiU,2013,Fighting,Tecmo Koei,20000,40,Koei,M
15514,Dynasty Warriors 8: Empires,PSV,2015,Action,Tecmo Koei,20000,70,Omega Force,T
15523,Tenkai Knights: Brave Battle,3DS,2014,Action,Namco Bandai Games,20000,26,Bandai Namco Games,E10+
15552,Ridge Racer Unbounded,PC,2012,Racing,Namco Bandai Games,20000,72,Bugbear,T
15582,Mighty No. 9,XOne,2016,Platform,Deep Silver,20000,55,Inti Creates,E10+
15620,The Crew: Wild Run,XOne,2015,Action,Ubisoft,20000,65,Ivory Tower,T
15662,The Crew: Wild Run,PC,2015,Action,Ubisoft,20000,74,Ivory Tower,T
15676,Pillars of Eternity,PC,2014,Role-Playing,Paradox Interactive,20000,89,Obsidian Entertainment,M
15736,Prototype: Biohazard Bundle,PS4,2016,Action,Activision,20000,48,Radical Entertainment,M
15841,Mark McMorris Infinite Air,PS4,2016,Sports,FuRyu Corporation,20000,49,HB Studios Multimedia,T
15853,Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,20000,87,Larian Studios,M
15862,Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure,Revolution Software,20000,77,Revolution Software,T
16027,Quantum Break,PC,2016,Action,Microsoft Game Studios,20000,66,Remedy Entertainment,M
16064,DuckTales: Remastered,PC,2013,Action,Capcom,20000,66,WayForward,E
16068,Assetto Corsa,XOne,2016,Racing,505 Games,20000,63,Kunos Simulazioni,E
16090,Contrast,PC,2013,Platform,Focus Home Interactive,10000,62,Compulsion Games,T
16112,Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games,10000,72,"Milestone, Milestone S.r.l",E
16115,Republique,PS4,2016,Action,Nippon Ichi Software,10000,72,"Camouflaj, LLC",M
16122,NBA 2K17,PC,2016,Sports,Take-Two Interactive,10000,90,Visual Concepts,E
16137,Super Stardust Ultra VR,PS4,2016,Shooter,Sony Computer Entertainment,10000,66,Sony Interactive Entertainment,E10+
16145,Azure Striker Gunvolt,3DS,2016,Action,Yacht Club Games,10000,77,Inti Creates,E10+
16190,Darksiders: Warmastered Edition,XOne,2016,Action,Nordic Games,10000,80,Nordic Games Publishing,M
16203,The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,10000,56,"Spidersoft, Spiders",M
16263,htoL#NiQ: The Firefly Diary,PSV,2014,Platform,Nippon Ichi Software,10000,58,Nippon Ichi Software,T
16267,Worms: WMD,XOne,2016,Action,Sold Out,10000,75,Team 17,E10+
16276,Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,10000,66,SCEA,E10+
16283,Sherlock Holmes: The Devil's Daughter,PC,2016,Adventure,Bigben Interactive,10000,65,Frogwares,T
16317,Prototype: Biohazard Bundle,XOne,2016,Action,Activision,10000,56,Radical Entertainment,M
16377,Dokuro,PSV,2012,Action,GungHo,10000,76,Game Arts,E10+
16396,Goat Simulator,XOne,2016,Simulation,Koch Media,10000,53,Coffee Stain Studios,T
16416,Legend of Kay Anniversary,WiiU,2015,Action,Nordic Games,10000,67,"Neon Studios, Kaiko",E10+
16424,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,Nintendo,10000,70,"Nintendo, Nintendo Software Technology",E
16467,TrackMania Turbo,PC,2016,Action,Ubisoft,10000,79,Nadeo,E
16490,Super Dungeon Bros,PS4,2016,Action,Nordic Games,10000,42,React Games,E10+
16503,Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,10000,70,Frogwares,T
16513,Ride 2,PC,2016,Racing,Milestone S.r.l,10000,78,Milestone S.r.l,E
16514,Art Academy: Home Studio,WiiU,2015,Misc,Nintendo,10000,82,Headstrong Games,E
16530,Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,10000,61,Kalypso,T
16534,Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,10000,51,Stainless Games,M
16588,Transformers: Fall of Cybertron,PC,2012,Action,Activision,10000,78,"High Moon Studios, Mercenary Technologies",T
16601,Saints Row: Gat out of Hell,XOne,2015,Action,Deep Silver,10000,65,Volition Inc.,M
16634,Sbastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l,10000,63,Milestone S.r.l,E
16656,Fast Racing Neo ,WiiU,2016,Action,Nintendo,10000,81,Shin'en,E
16696,Metal Gear Solid V: Ground Zeroes,PC,2014,Action,Konami Digital Entertainment,10000,80,Kojima Productions,M
